Metadata_hour,Metadata_treatment,ImageNumber,ObjectNumber,reduced_feature
14,C,81,1,-2.371658952898457
14,C,81,2,-0.16577944317968876
14,C,81,3,-0.34622833714257367
14,C,81,4,-0.4414686362765747
14,C,81,5,-2.52716756891789
14,C,81,6,-1.8189186817302796
14,C,81,7,-0.5927030275583418
14,C,81,8,0.20170622391917514
14,C,81,9,-0.014034790894913982
14,C,81,10,0.4649999979155759
14,C,82,2,-1.4985722790762397
14,C,82,3,-2.3161762653182345
14,C,82,4,-1.6567920293239327
14,C,82,6,-0.7229504437489138
14,C,82,7,-0.8618151915753935
14,C,83,1,-1.2768072993351212
14,C,83,3,-2.254992062143932
14,C,83,4,-1.1129989420791997
14,C,83,5,-0.4941218264046588
14,C,84,1,-0.17037064062322993
14,C,84,2,-0.14393571744219733
14,C,84,3,-0.01823378176309388
14,C,85,1,0.850829304726633
14,C,85,2,-0.8163413828610779
14,C,85,3,0.5579064708179211
14,C,85,4,0.761801206423731
14,C,86,1,-1.2800380808657308
14,C,86,2,0.2746330752969771
14,C,86,3,-1.0704016927486297
14,C,86,4,-0.4431346055829653
14,C,86,5,-2.253685044460879
14,C,86,7,-1.6337159488278499
14,C,86,8,-1.2132148011312085
14,C,86,9,-0.05560504233164004
14,C,87,1,-2.248724259033476
14,C,87,2,-1.6272981054932816
14,C,87,4,-3.14613284847032
14,C,87,5,-1.98826747435739
14,C,87,6,-0.5929176448235667
14,C,87,7,-2.562471069172503
14,C,87,10,-1.0903666580494789
14,C,88,2,-0.04889233404127052
14,C,89,2,-0.35023208556301005
14,C,90,1,-1.7724337406198876
14,C,90,4,-1.7348649181411981
2,C,91,1,-0.16499002116685071
2,C,91,2,-0.07290548030583839
2,C,91,3,-0.7152572867151554
2,C,91,4,0.8215550721842951
2,C,91,5,-0.2730081183167431
2,C,92,1,0.6757215339060024
2,C,92,2,0.12889691359925187
2,C,92,3,-0.1307580075451108
2,C,92,4,0.6310627790435814
2,C,93,1,-0.44501643841353866
2,C,93,2,-0.2832579239792473
2,C,93,3,-1.05140275644678
2,C,93,4,0.4505845382417804
2,C,94,1,-0.4011157613112268
2,C,94,2,-1.4426001085372002
2,C,94,3,-0.40810653490511484
2,C,94,4,-0.48378306473132376
2,C,94,6,-0.7992889098166626
2,C,94,7,-1.158332581651499
2,C,95,1,-0.9299605026593126
2,C,96,1,-2.7448905928530327
2,C,97,1,-0.04422311217241245
2,C,97,2,0.6625291159403086
2,C,97,3,0.18436452582985413
2,C,97,4,-1.283633229861263
2,C,98,1,-0.4831775354302925
2,C,98,2,-1.9185890564763166
2,C,99,2,-0.6497465241998508
2,C,100,1,0.8657394869105195
2,C,101,1,-2.363067321294332
2,C,101,2,-2.581244098351478
2,C,102,1,-0.2919056781802281
2,C,102,2,0.3261989344273042
2,C,103,1,0.6403707511646719
2,C,103,2,0.6487490390715268
2,C,104,1,-0.9299006265225515
2,C,104,2,0.5036164286378604
2,C,104,3,0.21577381603707257
2,C,104,4,0.8096573857100801
2,C,105,2,0.23027742072407822
2,C,105,3,-0.647226351745459
2,C,105,4,-0.40384767943560934
2,C,105,5,-1.1048565264498846
2,C,105,6,-2.8851272533013015
2,C,105,7,-1.7332428365566377
4,C,106,1,-1.0426170260652807
4,C,106,2,-1.4070196106946238
4,C,106,3,0.9990212551632951
4,C,106,4,0.9540414226454503
4,C,106,5,0.8703910053395316
4,C,107,1,-0.4373785534019312
4,C,107,2,-0.6572800526480418
4,C,107,3,0.7955765274489243
4,C,107,4,-1.091845669304804
4,C,107,5,0.6595194534860315
4,C,107,6,0.6347447597911366
4,C,107,7,-0.21934424933419058
4,C,107,8,0.7980504972505144
4,C,108,1,0.8470375246184525
4,C,108,2,0.9060990183013428
4,C,108,3,0.4488153336268466
4,C,109,1,-0.752741525185288
4,C,109,2,0.8832500011116723
4,C,109,3,0.8684109960271688
4,C,109,4,0.8633814288667158
4,C,109,5,0.9591081017145575
4,C,110,1,0.03864768606159045
4,C,110,2,0.7535677038945111
4,C,110,3,-0.7403729267883138
4,C,110,4,-0.4452416876215966
4,C,110,5,0.8297736109030807
4,C,110,6,-0.23064089323525253
4,C,111,1,-0.8565466066007328
4,C,111,2,0.8539966728002742
4,C,111,3,-0.027951032480132598
4,C,111,4,0.5076515056077947
4,C,111,5,-0.5341712154204205
4,C,112,1,-0.1110989470766271
4,C,112,2,-0.9764399290326286
4,C,112,3,0.723287195729424
4,C,112,6,0.5485892399531784
4,C,112,7,0.7108786854801191
4,C,112,8,-0.10968229179921328
4,C,112,9,-2.0561091394838513
4,C,112,10,0.046550673502923454
4,C,113,1,-0.5218555876263169
4,C,113,2,-2.7224851869429627
4,C,114,1,0.8197398952182737
4,C,114,2,0.8259208020685247
4,C,114,3,0.8194734274731501
4,C,114,4,0.7977154552956945
4,C,114,5,0.2698983104008939
4,C,114,6,-0.03574013414612155
4,C,115,1,0.19453304809690997
4,C,115,2,-1.104658666851852
4,C,115,3,0.12941463918514676
4,C,115,4,0.7960093144042324
4,C,115,5,0.06843888195076692
4,C,115,6,0.8778947436585116
4,C,115,7,0.8007160832958272
4,C,115,8,-2.967248709527309
6,C,116,1,0.43098893917878645
6,C,116,2,0.6787674980993602
6,C,116,3,0.4840553511444171
6,C,116,4,-0.23156410197621408
6,C,116,5,-0.18924095901281585
6,C,116,6,-0.5715320228887381
6,C,116,7,-3.0295275329161666
6,C,117,1,0.7918621862136903
6,C,118,1,-0.9960326321826662
6,C,118,3,-1.8497671040620678
6,C,119,1,0.06380259691440432
6,C,119,3,-1.2266852026878532
6,C,119,4,-2.3809601281121067
6,C,120,1,0.2853496648074505
6,C,120,2,-1.4201198620769144
6,C,120,3,0.6543943666438898
6,C,120,4,0.148672840623661
6,C,120,5,-0.5939095987288426
6,C,120,6,-0.04398256805902856
6,C,120,7,-1.4781524958340577
6,C,121,2,-1.7405405277599832
6,C,121,3,0.3139705255386015
6,C,121,5,-2.2576728608632677
6,C,121,6,-0.5842179312029474
6,C,121,7,-0.3633650230767283
6,C,121,8,-1.4395703493237415
6,C,121,9,0.35999982129621916
6,C,121,11,-2.876609642765374
6,C,122,1,0.7330749641190408
6,C,122,2,0.7265988223624762
6,C,122,3,-1.2138387486385471
6,C,122,4,-0.38812172545437945
6,C,122,6,0.24333617864925178
6,C,123,1,0.1947958330721022
6,C,123,2,-1.1010288177658887
6,C,124,1,-0.059669923557758346
6,C,124,2,-0.2867772907964039
6,C,125,1,0.1369748582171218
6,C,125,2,-0.7883048606688448
14,A,1,1,-0.36882465787639396
14,A,1,2,0.08178504479126081
14,A,1,3,0.3888143390565612
14,A,1,4,0.6396614490599483
14,A,1,6,-2.023243422830014
14,A,2,1,-0.05414837445437661
14,A,2,2,0.592899848956235
14,A,2,3,0.29720027035292845
14,A,2,4,0.6814921116386977
14,A,3,1,0.4720549676741367
14,A,3,2,0.3717994154371582
14,A,3,3,0.47786210632645765
14,A,3,4,0.33048597868162893
14,A,3,5,0.3749002618471136
14,A,3,6,0.13776265708964655
14,A,3,7,0.6266642515173261
14,A,3,8,0.3628501243259799
14,A,3,9,0.563674326416908
14,A,4,1,0.24375662420957736
14,A,4,2,0.6643891405266268
14,A,4,3,0.7217862078549674
14,A,4,4,0.6365726262260641
14,A,5,1,0.5893609362809459
14,A,5,2,0.4377369546458875
14,A,5,3,-1.888652352814981
14,A,5,4,0.809545734972394
14,A,5,5,0.37993927948944733
14,A,5,6,0.582401808717594
14,A,5,7,0.5384186091032975
14,A,5,8,0.6832276692303563
14,A,5,9,0.6415322345498319
14,A,5,10,0.34234868992875384
14,A,5,11,-0.4005788686989581
14,A,6,1,0.49059033222548815
14,A,6,2,0.6284127753239444
14,A,6,3,0.5056783931030521
14,A,6,4,0.35378619187972565
14,A,6,5,0.6902123944042335
14,A,6,6,0.3689194117682788
14,A,6,7,0.6047614801241322
14,A,6,8,0.8686826814362286
14,A,7,1,0.7884929586037611
14,A,7,2,0.6194555117546253
14,A,7,3,0.6799457424056587
14,A,7,4,0.7819980498970862
14,A,7,5,0.5472389759975953
14,A,7,6,0.5279150791377286
14,A,7,7,0.6406397661120422
14,A,8,1,0.6420629632146735
14,A,8,2,0.5016964184259377
14,A,8,3,0.6099152711202632
14,A,8,4,0.6117091125074042
14,A,8,5,0.2800994455214436
14,A,8,6,0.5386946267856346
14,A,8,7,0.9314356072920278
14,A,9,1,0.7003788530596023
14,A,9,2,0.5674636040185952
14,A,9,3,0.5615473778883021
14,A,9,4,0.7623628018721772
14,A,9,5,0.5329313963407499
14,A,9,6,0.09103424680534118
14,A,9,7,0.6425474050882894
14,A,9,8,0.4563287470634222
14,A,10,1,-1.5012399818695068
14,A,10,2,0.30914718275916725
14,A,10,3,0.602319546688045
14,A,10,4,0.6145726879181492
14,A,10,5,0.36850861983735805
14,A,10,6,-0.16164251756589887
14,A,10,7,0.6077422445865144
2,A,11,1,0.24229410727825462
2,A,11,2,0.6933686921945112
2,A,11,3,0.6686321114368867
2,A,11,4,-1.8636829652936278
2,A,11,5,0.5214933857160465
2,A,11,6,0.24792226791670896
2,A,11,7,0.09271923681466152
2,A,12,1,0.5886904877516977
2,A,12,2,-0.2932624654777637
2,A,12,3,0.15950989419263253
2,A,12,4,-0.36147309991458937
2,A,12,5,0.2595726065620524
2,A,12,6,0.416920811931455
2,A,12,7,0.3482955888791293
2,A,12,8,0.13784764878739533
2,A,12,9,0.5896630516588428
2,A,13,1,0.5437025696220902
2,A,13,2,0.5763825117825128
2,A,13,3,0.48319059383244495
2,A,13,4,0.443780251530588
2,A,13,5,0.503218194444594
2,A,13,6,0.697445029564108
2,A,13,7,0.6055524436257044
2,A,14,1,0.6776450151669776
2,A,14,2,0.3927807421906356
2,A,14,3,-2.594714938656355
2,A,14,4,-0.3582076148996191
2,A,14,5,0.157905744546391
2,A,14,6,0.17774113584706716
2,A,15,1,0.36004444813037706
2,A,15,2,0.5273068318824107
2,A,15,3,-0.8461616911731064
2,A,15,4,0.1380447019380417
2,A,15,5,0.5360387783381024
2,A,16,1,0.136574139372179
2,A,16,2,0.6156252802974023
2,A,16,3,0.42492556861529696
2,A,16,4,0.6331672176480606
2,A,17,1,0.5272384524227746
2,A,17,2,0.7526432301707054
2,A,17,3,0.591587002825717
2,A,17,4,0.24912006436453407
2,A,18,1,0.6221317971739468
2,A,18,2,0.1436224200506994
2,A,18,3,0.5694702946289936
2,A,18,4,0.5591474614607412
2,A,18,5,0.55617343113133
2,A,19,1,-0.44712755954913624
2,A,19,2,0.26503006551862507
2,A,19,3,-0.07553925229241777
2,A,19,4,0.4236761936626345
2,A,19,5,0.4951054264683035
2,A,19,6,0.5425499249994074
2,A,19,7,0.5045463149072961
2,A,19,8,0.659987674653693
2,A,19,9,-1.5622379820352712
2,A,20,1,0.6248324990614352
2,A,20,2,0.772114395176113
2,A,20,3,0.4950185576207222
2,A,20,5,0.41084155289028573
2,A,20,6,-0.06088398754543546
2,A,20,7,-0.7434022376454751
2,A,20,8,-1.338335076609537
4,A,21,1,0.8382481382354693
4,A,21,2,0.9049211232706302
4,A,21,3,0.7698950466644718
4,A,21,4,0.8272456388261425
