Metadata_hour,Metadata_treatment,ImageNumber,ObjectNumber,reduced_feature
14,C,81,1,-2.371658953
14,C,81,2,-0.165779443
14,C,81,3,-0.346228337
14,C,81,4,-0.441468636
14,C,81,5,-2.527167569
14,C,81,6,-1.818918682
14,C,81,7,-0.592703028
14,C,81,8,0.201706224
14,C,81,9,-0.014034791
14,C,81,10,0.464999998
14,C,82,2,-1.498572279
14,C,82,3,-2.316176265
14,C,82,4,-1.656792029
14,C,82,6,-0.722950444
14,C,82,7,-0.861815192
14,C,83,1,-1.276807299
14,C,83,3,-2.254992062
14,C,83,4,-1.112998942
14,C,83,5,-0.494121826
14,C,84,1,-0.170370641
14,C,84,2,-0.143935717
14,C,84,3,-0.018233782
14,C,85,1,0.850829305
14,C,85,2,-0.816341383
14,C,85,3,0.557906471
14,C,85,4,0.761801206
14,C,86,1,-1.280038081
14,C,86,2,0.274633075
14,C,86,3,-1.070401693
14,C,86,4,-0.443134606
14,C,86,5,-2.253685044
14,C,86,7,-1.633715949
14,C,86,8,-1.213214801
14,C,86,9,-0.055605042
14,C,87,1,-2.248724259
14,C,87,2,-1.627298105
14,C,87,4,-3.146132848
14,C,87,5,-1.988267474
14,C,87,6,-0.592917645
14,C,87,7,-2.562471069
14,C,87,10,-1.090366658
14,C,88,2,-0.048892334
14,C,89,2,-0.350232086
14,C,90,1,-1.772433741
14,C,90,4,-1.734864918
14,A,1,1,-0.368824658
14,A,1,2,0.081785045
14,A,1,3,0.388814339
14,A,1,4,0.639661449
14,A,1,6,-2.023243423
14,A,2,1,-0.054148374
14,A,2,2,0.592899849
14,A,2,3,0.29720027
14,A,2,4,0.681492112
14,A,3,1,0.472054968
14,A,3,2,0.371799415
14,A,3,3,0.477862106
14,A,3,4,0.330485979
14,A,3,5,0.374900262
14,A,3,6,0.137762657
14,A,3,7,0.626664252
14,A,3,8,0.362850124
14,A,3,9,0.563674326
14,A,4,1,0.243756624
14,A,4,2,0.664389141
14,A,4,3,0.721786208
14,A,4,4,0.636572626
14,A,5,1,0.589360936
14,A,5,2,0.437736955
14,A,5,3,-1.888652353
14,A,5,4,0.809545735
14,A,5,5,0.379939279
14,A,5,6,0.582401809
14,A,5,7,0.538418609
14,A,5,8,0.683227669
14,A,5,9,0.641532235
14,A,5,10,0.34234869
14,A,5,11,-0.400578869
14,A,6,1,0.490590332
14,A,6,2,0.628412775
14,A,6,3,0.505678393
14,A,6,4,0.353786192
14,A,6,5,0.690212394
14,A,6,6,0.368919412
14,A,6,7,0.60476148
14,A,6,8,0.868682681
14,A,7,1,0.788492959
14,A,7,2,0.619455512
14,A,7,3,0.679945742
14,A,7,4,0.78199805
14,A,7,5,0.547238976
14,A,7,6,0.527915079
14,A,7,7,0.640639766
14,A,8,1,0.642062963
14,A,8,2,0.501696418
14,A,8,3,0.609915271
14,A,8,4,0.611709113
14,A,8,5,0.280099446
14,A,8,6,0.538694627
14,A,8,7,0.931435607
14,A,9,1,0.700378853
14,A,9,2,0.567463604
14,A,9,3,0.561547378
14,A,9,4,0.762362802
14,A,9,5,0.532931396
14,A,9,6,0.091034247
14,A,9,7,0.642547405
14,A,9,8,0.456328747
14,A,10,1,-1.501239982
14,A,10,2,0.309147183
14,A,10,3,0.602319547
14,A,10,4,0.614572688
14,A,10,5,0.36850862
14,A,10,6,-0.161642518
14,A,10,7,0.607742245
6,C,116,1,0.430988939
6,C,116,2,0.678767498
6,C,116,3,0.484055351
6,C,116,4,-0.231564102
6,C,116,5,-0.189240959
6,C,116,6,-0.571532023
6,C,116,7,-3.029527533
6,C,117,1,0.791862186
6,C,118,1,-0.996032632
6,C,118,3,-1.849767104
6,C,119,1,0.063802597
6,C,119,3,-1.226685203
6,C,119,4,-2.380960128
6,C,120,1,0.285349665
6,C,120,2,-1.420119862
6,C,120,3,0.654394367
6,C,120,4,0.148672841
6,C,120,5,-0.593909599
6,C,120,6,-0.043982568
6,C,120,7,-1.478152496
6,C,121,2,-1.740540528
6,C,121,3,0.313970526
6,C,121,5,-2.257672861
6,C,121,6,-0.584217931
6,C,121,7,-0.363365023
6,C,121,8,-1.439570349
6,C,121,9,0.359999821
6,C,121,11,-2.876609643
6,C,122,1,0.733074964
6,C,122,2,0.726598822
6,C,122,3,-1.213838749
6,C,122,4,-0.388121725
6,C,122,6,0.243336179
6,C,123,1,0.194795833
6,C,123,2,-1.101028818
6,C,124,1,-0.059669924
6,C,124,2,-0.286777291
6,C,125,1,0.136974858
6,C,125,2,-0.788304861
