ImageNumber,ObjectNumber,Metadata_hour,Metadata_treatment,Texture_AngularSecondMoment_ED_10_00_256,Texture_AngularSecondMoment_ED_10_01_256,Texture_AngularSecondMoment_ED_10_02_256,Texture_AngularSecondMoment_ED_10_03_256,Texture_Contrast_ED_10_00_256,Texture_Contrast_ED_10_01_256,Texture_Contrast_ED_10_02_256,Texture_Contrast_ED_10_03_256,Texture_Correlation_ED_10_00_256,Texture_Correlation_ED_10_01_256,Texture_Correlation_ED_10_02_256,Texture_Correlation_ED_10_03_256,Texture_DifferenceEntropy_ED_10_00_256,Texture_DifferenceEntropy_ED_10_01_256,Texture_DifferenceEntropy_ED_10_02_256,Texture_DifferenceEntropy_ED_10_03_256,Texture_DifferenceVariance_ED_10_00_256,Texture_DifferenceVariance_ED_10_01_256,Texture_DifferenceVariance_ED_10_02_256,Texture_DifferenceVariance_ED_10_03_256,Texture_Entropy_ED_10_00_256,Texture_Entropy_ED_10_01_256,Texture_Entropy_ED_10_02_256,Texture_Entropy_ED_10_03_256,Texture_InfoMeas1_ED_10_00_256,Texture_InfoMeas1_ED_10_01_256,Texture_InfoMeas1_ED_10_02_256,Texture_InfoMeas1_ED_10_03_256,Texture_InfoMeas2_ED_10_00_256,Texture_InfoMeas2_ED_10_01_256,Texture_InfoMeas2_ED_10_02_256,Texture_InfoMeas2_ED_10_03_256,Texture_InverseDifferenceMoment_ED_10_00_256,Texture_InverseDifferenceMoment_ED_10_01_256,Texture_InverseDifferenceMoment_ED_10_02_256,Texture_InverseDifferenceMoment_ED_10_03_256,Texture_SumAverage_ED_10_00_256,Texture_SumAverage_ED_10_01_256,Texture_SumAverage_ED_10_02_256,Texture_SumAverage_ED_10_03_256,Texture_SumEntropy_ED_10_00_256,Texture_SumEntropy_ED_10_01_256,Texture_SumEntropy_ED_10_02_256,Texture_SumEntropy_ED_10_03_256,Texture_SumVariance_ED_10_00_256,Texture_SumVariance_ED_10_01_256,Texture_SumVariance_ED_10_02_256,Texture_SumVariance_ED_10_03_256,Texture_Variance_ED_10_00_256,Texture_Variance_ED_10_01_256,Texture_Variance_ED_10_02_256,Texture_Variance_ED_10_03_256
1,1,14,A,0.000733594,0.000773477,0.000705465,0.000751057,1119.924784,1210.118926,1207.358068,1151.348601,0.145659113,0.175908923,0.184786366,0.231369552,6.033288164,6.058895834,6.072654777,6.035020382,7.19E-05,7.37E-05,7.16E-05,7.13E-05,10.48506872,10.41949738,10.54054027,10.45073355,-0.417999282,-0.446280508,-0.430230916,-0.446588016,0.99803632,0.998741932,0.998450963,0.998770888,0.044664531,0.034419544,0.031641517,0.0368637,139.2367448,134.8120205,134.9363958,137.0203562,7.119390361,7.199167563,7.2162803,7.213282431,1501.803385,1726.738321,1754.70738,1844.495769,655.4320422,734.2143117,740.516362,748.9610923
1,2,14,A,0.000264481,0.000266503,0.000261612,0.000266257,1058.61586,1132.255139,1094.583512,1146.459474,0.123192615,0.064584504,0.092233329,0.047342894,6.059024646,6.100231658,6.083469957,6.119409082,7.01E-05,6.62E-05,6.76E-05,6.57E-05,12.09613379,12.06773933,12.09943413,12.08504516,-0.172295122,-0.178342429,-0.171558477,-0.174216503,0.947509431,0.951762804,0.946964612,0.948879401,0.041303105,0.030761548,0.034033398,0.038046095,114.5051075,113.9498733,114.6359743,114.6780083,7.196764579,7.164768242,7.178109905,7.148154427,1356.089759,1288.605203,1317.013096,1260.407525,603.6764048,605.2150857,602.8991518,601.7167498
1,3,14,A,0.000203208,0.000202564,0.000201261,0.000199634,949.7276904,1050.02182,996.9013182,1039.347713,0.207730374,0.120124183,0.164553997,0.13821579,5.993357576,6.06560212,6.030308914,6.060936155,7.78E-05,7.08E-05,7.43E-05,7.18E-05,12.57423455,12.57672866,12.57949741,12.58705514,-0.105291123,-0.103890216,-0.103618404,-0.104448669,0.867636407,0.86484998,0.864338912,0.866147952,0.038100886,0.036761551,0.037597188,0.03859472,141.1646917,141.4517456,141.131092,141.1959836,7.267412606,7.207487553,7.232935674,7.224743122,1447.758366,1336.72822,1389.611549,1372.735732,599.3715142,596.6875101,596.6282167,603.0208612
1,4,14,A,0.000204198,0.000197453,0.000200319,0.00019945,737.630181,796.6793619,814.6411533,875.0470051,0.307740874,0.266845235,0.244032082,0.182414306,5.811008601,5.869137472,5.880149833,5.927669971,8.75E-05,8.21E-05,8.25E-05,7.90E-05,12.65752905,12.69143576,12.69249433,12.68390764,-0.071379141,-0.069838418,-0.068377577,-0.067734121,0.779851214,0.775145744,0.769975618,0.767486793,0.049399776,0.047275093,0.050954897,0.043924134,180.0948175,179.5309919,179.5746342,179.7798085,7.253769681,7.242002579,7.226440635,7.181597117,1393.450952,1376.611736,1340.585632,1265.51639,532.7702831,543.3227744,538.8066964,535.1408488
1,5,14,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,14,A,0.017857143,0.025,0.018210198,0.02,508.1071429,529.65,702.7741935,496.28,-0.178806948,0.290430729,-0.275796799,-0.0522593,4.378783493,3.88418372,4.631615665,3.83326969,0.000531015,0.000758456,0.000368864,0.000799419,5.807354922,5.321928095,5.825164052,5.64385619,-0.810218908,-0.936264516,-0.808783493,-0.82575498,0.999816346,0.999957308,0.999816467,0.999821483,0.036389182,0.062178942,0.00905525,0.024489748,49.96428571,63.85,51.67741935,45.88,4.235926351,4.021928095,4.478232197,4.40385619,353.9630102,963.2275,398.9281998,446.9856,215.5175383,373.219375,275.4255983,235.8164
2,1,14,A,0.000335982,0.000343067,0.000326082,0.000327364,1241.509511,1261.183654,1217.397504,1275.139609,0.212461911,0.184511665,0.231908951,0.200003283,6.166647712,6.16263514,6.142084496,6.172601962,6.01E-05,6.27E-05,6.30E-05,6.05E-05,11.67713892,11.64186952,11.72350827,11.70983338,-0.280125552,-0.282205734,-0.273432463,-0.275358926,0.988794722,0.98903217,0.987725609,0.988042199,0.034904479,0.03500268,0.037594557,0.033704052,122.598279,120.1906999,121.8654189,121.5825375,7.405372537,7.371749365,7.421106957,7.391285887,1911.378022,1831.892239,1952.53269,1912.722496,788.2218833,773.2689732,792.4825486,796.9655263
2,2,14,A,0.000204309,0.000206726,0.000204558,0.000205684,876.6393931,898.0765488,892.8141671,919.1989575,0.154319168,0.144262939,0.148370886,0.122139812,5.942633227,5.960963091,5.954552037,5.974385781,7.75E-05,7.63E-05,7.66E-05,7.50E-05,12.65137952,12.64877039,12.64728264,12.65159435,-0.064004202,-0.067079849,-0.066998437,-0.066270988,0.752848495,0.76443098,0.764102962,0.761485501,0.042410772,0.04438307,0.044782938,0.040226282,157.819832,157.6419271,157.6836383,157.6026336,7.124872326,7.128161981,7.127320576,7.111938896,1196.576318,1200.877883,1203.906465,1174.981802,518.3039277,524.738608,524.1801581,523.54519
2,3,14,A,0.000195798,0.000199581,0.000194674,0.000197255,1185.386035,1242.793198,1204.652803,1224.484261,0.185381997,0.136120612,0.1664215,0.151895477,6.152190762,6.181100148,6.163419993,6.169105524,6.43E-05,6.15E-05,6.23E-05,6.22E-05,12.56608722,12.53206721,12.56568096,12.53970828,-0.14478721,-0.147039279,-0.143303361,-0.147103271,0.927005325,0.929063216,0.92533828,0.929221191,0.037903837,0.033994655,0.03643901,0.033739812,147.6909393,146.8092634,147.6925636,147.2366854,7.388399909,7.346320874,7.365172357,7.357309004,1724.900824,1634.444563,1685.663593,1663.094397,727.5717147,719.3094402,722.5790991,721.8946644
2,4,14,A,0.000163733,0.000161981,0.00016243,0.000161442,932.8086805,955.749479,936.8599481,964.7179364,0.263895923,0.254453875,0.266079267,0.254411826,5.985873325,6.001502592,5.989972486,6.011226077,7.39E-05,7.31E-05,7.35E-05,7.18E-05,12.94313629,12.95384431,12.95068814,12.96381552,-0.063361171,-0.063778012,-0.063301915,-0.063698157,0.755822741,0.757647016,0.755730751,0.757521145,0.03967461,0.037919166,0.040500263,0.04006249,158.8780398,158.3053492,158.5445932,158.5293237,7.339504662,7.343002659,7.347530616,7.344513579,1601.639122,1608.141465,1616.167664,1623.085815,633.6119507,640.972736,638.2569031,646.9509378
