Metadata_hour,Metadata_treatment,ImageNumber,ObjectNumber,reduced_feature
14,C,81,1,0.057017863259913204
14,C,81,2,-0.5374124328805925
14,C,81,3,-1.2403817173557234
14,C,81,4,-1.21288008302383
14,C,81,5,-0.25131815935356777
14,C,81,6,0.20526702679496905
14,C,81,7,-1.0159767431088451
14,C,81,8,-1.205813117573446
14,C,81,9,-1.0883641413692007
14,C,81,10,-0.8982970286527554
14,C,82,1,-1.1491891916554484
14,C,82,2,-0.6517864085879111
14,C,82,3,-1.1736167502757964
14,C,82,4,-1.8415267924778922
14,C,82,5,-0.06676581109078801
14,C,82,6,0.02430178060543043
14,C,82,7,0.6542867857351742
14,C,82,8,-1.308388414321128
14,C,83,1,-1.467038345806473
14,C,83,2,-0.501549816713078
14,C,83,3,0.07424288900197214
14,C,83,4,-0.7710076526445914
14,C,83,5,-0.1335908656340031
14,C,84,1,-1.708801914056063
14,C,84,2,-1.6542212695009841
14,C,84,3,-0.9227619346276927
14,C,84,4,-0.033042830405906866
14,C,85,1,-1.3579030432274994
14,C,85,2,-1.856491280716214
14,C,85,3,-0.9654363637466861
14,C,85,4,-0.43408791701941457
14,C,86,1,-0.902691004319688
14,C,86,2,-2.04428250253431
14,C,86,3,-1.4109357459377865
14,C,86,4,-1.1986327090126756
14,C,86,5,-0.7733582155656572
14,C,86,6,-0.9542157128370256
14,C,86,7,-1.064288498623025
14,C,86,8,-1.467782499468043
14,C,86,9,-1.2470427541125242
14,C,87,1,-1.0272612237940664
14,C,87,2,-0.7643856523833656
14,C,87,3,-0.09023323004161962
14,C,87,4,-0.817045653889283
14,C,87,5,-2.5240219691528276
14,C,87,6,-1.2221562559504011
14,C,87,7,-1.458626186934757
14,C,87,8,-0.4484059146982653
14,C,87,9,-0.8394895581345421
14,C,87,10,-2.0065020601035646
14,C,88,1,-2.017573094980221
14,C,88,2,-1.703126861557517
14,C,88,3,-1.155850166602367
14,C,88,4,-0.3038589454923237
14,C,89,1,-1.3080781387727511
14,C,89,2,-2.0198502590835266
14,C,90,1,-2.545868851578577
14,C,90,2,-2.3044727735207298
14,C,90,3,-2.052315687177938
14,C,90,4,-1.0998079716543607
14,C,90,5,-1.5485442403118528
2,C,91,1,-1.5396110683547095
2,C,91,2,-0.69596974601682
2,C,91,3,-1.8292872489746737
2,C,91,4,-1.243634372319705
2,C,91,5,-1.2612035945778262
2,C,91,6,-1.8023217456354275
2,C,92,1,-1.5775221351464264
2,C,92,2,-1.6837594552250168
2,C,92,3,-0.7220527112844181
2,C,92,4,-1.4300259985190997
2,C,93,1,-1.191110653370902
2,C,93,2,-1.845517710497976
2,C,93,3,-1.5188785040312478
2,C,93,4,-1.5956642999370902
2,C,93,5,-1.4072881844427056
2,C,94,1,-1.3486600528688357
2,C,94,2,-0.9503513032106161
2,C,94,3,-0.893730247048682
2,C,94,4,-1.2192781530050694
2,C,94,5,-1.1509238613501693
2,C,94,6,-1.2406880730050023
2,C,94,7,-0.914634432668364
2,C,94,8,-0.08635722722785519
2,C,95,1,-1.0164149576526826
2,C,96,1,-1.4927426777587063
2,C,96,2,-0.9788516126013511
2,C,97,1,-0.49255708157173195
2,C,97,2,-0.5750651550529472
2,C,97,3,-0.7743320130612247
2,C,97,4,-0.31972147878018414
2,C,98,1,-1.2236871195738641
2,C,98,2,-0.7510940575976971
2,C,98,3,-1.4403891379107105
2,C,98,4,-2.011393545601515
2,C,98,5,-1.199115970489126
2,C,99,1,-1.3507002389380451
2,C,99,2,-0.9844730762021284
2,C,100,1,-1.7317178215420415
2,C,101,1,-0.6362805495429137
2,C,101,2,-0.826909972847584
2,C,102,1,-1.1381389820244074
2,C,102,2,-1.1261209363754119
2,C,103,1,-2.1246466276422176
2,C,103,2,-1.0939196709983456
2,C,103,3,-1.406846284192012
2,C,104,1,-1.2456987239521264
2,C,104,2,-1.5686101741263567
2,C,104,3,-1.5548965776500305
2,C,104,4,-1.465447061004245
2,C,105,1,-1.6700363356836512
2,C,105,2,-0.8982393391584016
2,C,105,3,-1.6576286278436667
2,C,105,4,-1.3869443609205598
2,C,105,5,-1.3822030727635533
2,C,105,6,-1.2889060938235362
2,C,105,7,-0.960849338119591
4,C,106,1,-2.1141959474252245
4,C,106,2,-1.5813046200944758
4,C,106,3,-1.8669797066991838
4,C,106,4,-2.1886778382140735
4,C,106,5,-2.0568890684502934
4,C,107,1,-1.3065513485215734
4,C,107,2,-0.3987598369908389
4,C,107,3,-2.00336831088784
4,C,107,4,-1.8381620132793188
4,C,107,5,-0.4963364109074898
4,C,107,6,-1.53947992675556
4,C,107,7,-1.4418837384355851
4,C,107,8,-2.1328543958562247
4,C,108,1,-2.0883469743907375
4,C,108,2,-1.7681433166704037
4,C,108,3,-1.625546946811233
4,C,109,1,-2.4139886250812874
4,C,109,2,-2.2771535937322467
4,C,109,3,-2.0789852100314157
4,C,109,4,-2.8968607303732443
4,C,109,5,-1.91510434967454
4,C,110,1,-1.6066081549178535
4,C,110,2,-2.4286036211227695
4,C,110,3,-1.9975975160391735
4,C,110,4,-1.9970144814177355
4,C,110,5,-1.318238186757203
4,C,110,6,-2.4570681823186455
4,C,111,1,-2.5140584468948326
4,C,111,2,-1.109490658562442
4,C,111,3,-1.8225016099097946
4,C,111,4,-2.36376397226045
4,C,111,5,-1.7426903899055963
4,C,112,1,-2.2190116809618465
4,C,112,2,-1.1330339336263453
